Area_sqm,Rooms,Location_Score,Price_EGP
152,3,31.97,447000.0
229,5,25.15,654000.0
142,5,29.69,691000.0
64,2,60.23,383000.0
156,6,46.35,648000.0
121,6,15.84,562000.0
238,3,32.85,584000.0
70,6,32.22,517000.0
152,3,72.67,578000.0
171,2,74.1,422000.0
260,5,23.33,673000.0
264,5,99.8,816000.0
124,5,34.01,531000.0
252,6,97.9,824000.0
137,2,46.99,401000.0
166,6,12.97,551000.0
149,6,41.06,515000.0
153,2,67.09,474000.0
201,2,71.26,598000.0
180,2,57.78,479000.0
199,2,50.3,531000.0
102,5,59.76,518000.0
51,4,63.34,412000.0
137,4,17.28,434000.0
285,2,43.27,520000.0
207,4,31.79,511000.0
87,4,82.28,574000.0
179,2,52.33,573000.0
241,4,98.51,705000.0
237,6,45.89,644000.0
70,3,83.48,520000.0
210,3,81.85,552000.0
253,2,23.56,441000.0
107,5,55.74,593000.0
71,2,72.62,408000.0
285,5,87.25,775000.0
138,3,39.34,470000.0
98,2,29.82,337000.0
268,6,74.0,910000.0
108,4,82.86,540000.0
219,5,41.38,606000.0
269,4,18.66,584000.0
237,4,94.65,706000.0
257,2,45.78,578000.0
64,4,56.6,378000.0
239,6,85.39,831000.0
239,4,70.81,654000.0
224,2,76.17,615000.0
239,6,28.82,694000.0
100,3,58.73,493000.0
157,4,72.62,583000.0
104,2,30.57,387000.0
293,3,25.75,678000.0
113,3,98.4,523000.0
298,5,56.5,756000.0
180,6,33.47,623000.0
278,4,99.66,857000.0
100,2,96.89,472000.0
184,5,60.25,618000.0
70,6,89.44,620000.0
122,5,26.98,519000.0
216,6,35.1,647000.0
67,6,73.03,595000.0
181,4,86.2,661000.0
138,6,87.07,706000.0
109,5,46.41,593000.0
63,6,89.9,627000.0
291,4,86.58,754000.0
299,4,94.21,801000.0
58,5,80.68,682000.0
139,3,70.21,490000.0
102,3,62.26,573000.0
179,6,43.51,607000.0
133,2,94.61,534000.0
141,6,97.63,719000.0
160,5,35.55,540000.0
237,5,37.48,697000.0
248,5,53.71,735000.0
221,5,50.36,648000.0
57,5,99.5,501000.0
224,4,25.83,555000.0
84,3,11.63,364000.0
255,5,54.45,714000.0
130,2,26.09,420000.0
213,2,42.98,596000.0
99,2,76.98,474000.0
153,2,74.88,531000.0
181,4,37.73,564000.0
51,2,58.83,427000.0
183,5,55.79,671000.0
103,6,67.27,675000.0
155,2,32.54,511000.0
53,4,63.09,491000.0
103,4,98.1,586000.0
270,2,53.81,600000.0
240,6,91.55,880000.0
195,2,49.1,518000.0
267,4,41.51,703000.0
93,3,68.06,446000.0
211,5,70.2,658000.0
